variable_name,description,category
cps21_marital,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_household,"Citizenship status, year of birth, gender identity, province of residence, education level, employment status, union membership, household characteristics.",Demographics
cps21_bornin_canada,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_imm_year,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_immig_status,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_origin_1,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_origin_2,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_origin_3,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_origin_4,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_origin_5,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_1,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_2,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_3,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_4,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_5,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_6,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_7,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_8,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_9,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_10,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_11,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_vismin_12,"Whether born in Canada, year of immigration, immigration category, ethnic/cultural origins (up to 5 text fields), identification with visible minority groups.",Immigration
cps21_interest_gen_1,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_interest_elxn_1,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_demsat,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_fed_gov_sat,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_prov_gov_sat,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_govt_confusing,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_govt_say,"Interest in politics generally/election (0-10 slider), satisfaction with democracy/federal/provincial government performance, feelings about government complexity and representation.",Political Interest & Efficacy
cps21_imp_iss,Most important federal issue (text field) and best party to address it; most important local issue (text field); issue focused on most by campaign (text field).,Issue Priorities
cps21_imp_iss_party,Most important federal issue (text field) and best party to address it; most important local issue (text field); issue focused on most by campaign (text field).,Issue Priorities
cps21_imp_loc_iss,Most important federal issue (text field) and best party to address it; most important local issue (text field); issue focused on most by campaign (text field).,Issue Priorities
cps21_camp_issue,Most important federal issue (text field) and best party to address it; most important local issue (text field); issue focused on most by campaign (text field).,Issue Priorities
cps21_party_rating_23,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_24,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_25,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_26,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_27,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_28,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_party_rating_29,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_23,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_24,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_25,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_26,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_27,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_28,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lead_rating_29,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_cand_rating_23,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_cand_rating_24,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_cand_rating_25,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_cand_rating_26,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_cand_rating_27,"Affective ratings for federal parties, federal leaders, and local candidates (all 0-100 sliders).",Party & Leader Ratings
cps21_lr_parties_1,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_2,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_3,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_4,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_5,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_6,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_parties_7,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lr_scale_bef_1,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lead_int,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lead_strong,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lead_trust,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_lead_cares,"Placement of parties and self on left-right scale (0-10); perception of leaders' intelligence, strength, trustworthiness, and caring (select all that apply).",Ideology & Leader Impressions
cps21_v_likely,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_votechoice,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_2nd_choice,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_not_vote_for,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_not_vote_for_w,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_turnout_2019,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_vote_2019,"Likelihood of voting, intended vote choice, second choice, parties respondent would not vote for (and why), and reported 2019 turnout and vote choice.",Vote Choice (Intention/Past)
cps21_howvote1,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_howvote2,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_howvote3,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_comfort1,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_comfort2,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_comfort3,"Most likely/actual method of voting (e.g., in person, mail); comfort level voting in person during the COVID-19 pandemic.",Voting Method & Comfort
cps21_spend_educ,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
cps21_spend_env,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
cps21_spend_defence,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
cps21_spend_afford_h,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
cps21_spend_nation_c,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
etc.,"Attitudes on federal spending levels (less/same/more) across various domains (education, environment, defence, housing, childcare, etc.).",Government Spending
cps21_pos_mailtrust,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
cps21_pos_fptp,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
cps21_pos_carbon,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
cps21_pos_jobs,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
cps21_covid_liberty,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
etc.,"Agreement/disagreement on various political and social issues (e.g., trustworthiness of mail voting, electoral system change, carbon tax, jobs vs. environment, COVID restrictions vs. liberty).",Issue Positions
cps21_econ_retro,"Retrospective evaluation of Canada's economy and personal finances, and future outlook; effect of federal policies on economy/personal finances.",Economic Attitudes
cps21_econ_fed_bette,"Retrospective evaluation of Canada's economy and personal finances, and future outlook; effect of federal policies on economy/personal finances.",Economic Attitudes
cps21_own_fin_retro,"Retrospective evaluation of Canada's economy and personal finances, and future outlook; effect of federal policies on economy/personal finances.",Economic Attitudes
cps21_ownfinanc_fed,"Retrospective evaluation of Canada's economy and personal finances, and future outlook; effect of federal policies on economy/personal finances.",Economic Attitudes
cps21_own_fin_future,"Retrospective evaluation of Canada's economy and personal finances, and future outlook; effect of federal policies on economy/personal finances.",Economic Attitudes
cps21_premier_name,"Multiple-choice questions testing recall of provincial Premier, federal Minister of Finance, and Governor-General.",Political Knowledge
cps21_finmin_name,"Multiple-choice questions testing recall of provincial Premier, federal Minister of Finance, and Governor-General.",Political Knowledge
cps21_govgen_name,"Multiple-choice questions testing recall of provincial Premier, federal Minister of Finance, and Governor-General.",Political Knowledge
cps21_fed_id,Federal and provincial political party identification and strength of identification.,Partisanship
cps21_fed_id_str,Federal and provincial political party identification and strength of identification.,Partisanship
cps21_prov_id,Federal and provincial political party identification and strength of identification.,Partisanship
cps21_prov_id_str,Federal and provincial political party identification and strength of identification.,Partisanship
cps21_groupdiscrim_1,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_2,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_3,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_4,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_5,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_6,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_7,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groupdiscrim_8,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_1,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_2,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_3,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_4,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_5,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_6,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_groups_therm_7,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_imm,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
cps21_refugees,"Perceived level of discrimination against various groups; affective ratings (0-100 sliders) toward groups (e.g., immigrants, racial minorities, Indigenous peoples); attitudes on immigrant/refugee admission levels.",Group Attitudes
pes21_turnout2021,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_notvotereason1,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_howvote,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_votechoice2021,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_resason_chose,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_when_decide,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_pr_votechoice,"Actual turnout in the 2021 federal election, main reason for not voting, method of voting, party voted for, most important reason for choosing that party, and timing of vote decision.",Turnout & Vote Choice
pes21_votingsafe,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes_maileasy,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes_maildifficult,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb_satif,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb8,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_embsatisfy,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_1,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_2,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_3,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_4,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_5,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_6,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_7,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_8,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_9,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_10,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_11,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_12,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_13,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_14,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_15,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_emb4_16,"Safety felt voting in person, difficulty/ease of mail-in voting, satisfaction/fairness with Elections Canada, overall satisfaction with voting experience, and sources of voting information.",Voting Experience/Management
pes21_dem_sat,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_campatt,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_where_info,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_contact1,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_formgovt,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_keepromises,"Satisfaction with democracy, campaign attention, main source of campaign information, whether contacted by a party, preference for seats vs. votes in government formation, and belief in parties keeping promises.",Campaign & Democracy
pes21_friendsnames_1,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_friendsnames_2,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_friendsnames_3,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_friendswho_1_1 to pes21_friendswho_5_3,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_discfam,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_partic1 to pes21_partic3 (12 variables total),"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_partymember,"Names of people discussed politics with (text fields), characteristics of those individuals, frequency of discussing politics with family/friends, detailed political participation activities, and party membership status.",Social Network & Participation
pes21_famvalues,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_bilingualism,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_equalrights,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_tieus,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_tiechina,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_ethid,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_can_id,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_2,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
pes21_populism_3,"Traditional family values, bilingualism/equal rights overreach, desired ties with US/China, importance of being Canadian/ethnicity/language to identity, perceived criteria for being ""truly Canadian,"" and various measures of populist attitudes.",Attitudes & Identity
